DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2015-02-21;15:00:00;VIA S.BENEDETTO;7;;Incidente stradale senza feriti;Urto con veicolo in sosta;3;1;0;0;0;0;0;
2015-02-21;14:55:00;VIA LANUSEI;10;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-02-21;11:45:00;VIA PO;10;;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-02-21;08:42:00;VIA S.EULALIA;19;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-02-22;20:12:00;VIA PERGOLESI;51;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;1;0;0;0;0;0;
2015-02-22;16:58:00;VIA SCANO;;VIA CARBONI BOI;Incidente stradale con feriti;Cambio di corsia;2;1;2;2;0;0;0;
2015-02-22;15:57:00;LARGO CARLO FELICE;68;;Incidente stradale per caduta di pedone;Caduta di pedone x buca;0;0;1;1;0;0;0;
2015-02-22;10:31:00;S.S. 554;KM. 3,200;;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-02-22;05:12:00;PIAZZA MICHELANGELO;;;Incidente stradale senza feriti;Urto con veicolo in sosta;3;0;1;0;0;0;0;
2015-02-23;07:43:00;VIALE DIAZ;164;;Incidente stradale con feriti;Urto laterale;2;2;0;0;1;0;0;
2015-02-23;20:57:00;ROTATORIA STAMIRA/PERETTI;< x >;ASSE MEDIANO DI SCORRIMENTO;Incidente stradale con feriti;Tamponamento;2;1;2;2;0;0;0;
2015-02-23;18:04:00;VIA BACAREDDA;< x >;VIA S.ALENIXEDDA;Incidente stradale con feriti;Tamponamento;2;1;1;1;0;0;0;
2015-02-23;17:02:00;VIALE S.ELIA;;;Danneggiamento;Ramo su auto;0;0;0;0;0;0;0;
